valid_time,latitude,longitude,Total Precipitation (mm),Evaporation (mm),Surface Runoff (mm),Mean Wave Direction (°),10m U-Component of Wind (m/s),10m V-Component of Wind (m/s),2m Temperature,Mean Sea Level (°C),Sea Surface Temperature (°C),Soil Temperature Level 1 (°C),Soil Type,Soil Water Volume Level 1 (m³/m³),number,Experiment Version,Flood_Occurred
2019-06-01,17.0,86.5,0.0229,-0.0001287015,0.0,191.548595,2.46961975,3.4232177999999998,302.77258,100473.28,303.38916,303.38879499999996,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.0,86.75,0.0167,-0.000122517,0.0,191.5300155757932,2.364151,3.0565185,302.732545,100481.155,303.37256,303.37317499999995,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.0,87.0,0.0248,-0.0001206995,0.0,191.888445,2.3231353500000003,2.6488037,302.695435,100489.845,303.39307,303.3927,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.25,80.0,0.363827,-8.0825e-05,0.00143,191.5300155757932,-0.32237245000000003,0.26354979999999995,306.731565,100283.78,302.9279268276109,310.32435,3.0,0.13447649,0,1,0
2019-06-01,17.25,80.25,0.226974,-7.4401e-05,0.000715,191.5300155757932,-0.3785248,0.5477295,306.937625,100281.155,302.9279268276109,310.084115,3.0,0.135758225,0,1,0
2019-06-01,17.25,80.5,0.00954,-7.195799999999999e-05,0.0,191.5300155757932,-0.32237241999999994,0.58728025,306.615355,100294.345,302.9279268276109,309.39758,3.0,0.17279131,0,1,0
2019-06-01,17.25,80.75,0.0386,-5.3747e-05,0.0,191.5300155757932,-0.11045840000000007,0.7391358,305.95813,100318.155,302.9279268276109,308.67688,4.0,0.28701097,0,1,0
2019-06-01,17.25,81.0,0.00906,-7.35965e-05,0.0,191.5300155757932,-0.30332945,1.23669435,305.64074500000004,100314.28,302.9279268276109,307.848755,4.0,0.26426774,0,1,0
2019-06-01,17.25,81.25,0.0,-7.92295e-05,0.0,191.5300155757932,-0.6485443,1.27966311,305.76086499999997,100323.22,302.9279268276109,307.52258500000005,4.0,0.25588304,0,1,0
2019-06-01,17.25,81.5,0.00047700000000000005,-7.015549999999999e-05,0.0,191.5300155757932,-0.20860289999999992,1.16638182,305.664185,100331.655,302.9279268276109,307.624145,4.0,0.259331525,0,1,0
2019-06-01,17.25,81.75,0.011899999999999999,-6.10065e-05,0.0,191.5300155757932,-0.18077090000000007,1.3294677849999998,306.233515,100310.72,302.9279268276109,307.95813499999997,3.0,0.18000872,0,1,0
2019-06-01,17.25,82.0,0.011,-5.4800000000000004e-05,0.0,191.5300155757932,-0.71250914,1.7010497999999998,306.714,100303.97,302.9279268276109,308.5011,4.0,0.20506364500000002,0,1,0
2019-06-01,17.25,82.25,0.00334,-5.625e-05,0.0,191.5300155757932,-1.004013085,2.3782959000000004,305.493285,100314.72,302.9279268276109,307.72473,4.0,0.170670335,0,1,0
